,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,try_Snippet,Compiled_Sources
0,50426037-2,Strychnos decussata,Strychnos decussata,50426037-2,Species," <b>Inflorescence</b>: , minutely or conspicuously papillose–<em>pubescent</em> or less often",,['POWO pages(/taxon/urn:lsid:ipni.org:names:50426037-2)']
1,547038-1,Strychnos angolensis,Strychnos angolensis,547038-1,Species," <b>Appearance</b>: , <b>Appearance</b>: -<em>pubescent</em> and glabrescent branchlets often black or dark-coloured, <b>Inflorescence</b>: ; peduncles <em>pubescent</em>., <b>Leaf</b>: , <em>pubescent</em>; lamina coriaceous or subcoriaceous, usually <em>hairy</em> like the branchlets; branchlets ochraceous–pubescent, very rarely",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547038-1)']
2,547073-1,Strychnos boonei,Strychnos boonei,547073-1,Species," 1.5–2.5 cm. long, <b>Inflorescence</b>: , <b>Leaf</b>:  at the base, <b>Leaf</b>: Leaves brown-<em>pubescent</em> at base beneath, bracteate, dull-surfaced, glabrous except for a few brown <em>hairs</em>, thinly <em>pubescent</em> with brown hairs., thinly pubescent with brown <em>hairs</em>.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547073-1)']
3,547124-1,Strychnos cocculoides,Strychnos cocculoides,547124-1,Species," <b>Appearance</b>: , <b>Inflorescence</b>: Cymes terminal, <b>Leaf</b>:  at the base, <b>Leaf</b>:  beneath, at least on the nerves, densely spreading-<em>pubescent</em> or rarely glabrous, often slightly bullate or subpapillose, often with <em>hair</em>, usually, usually <em>pubescent</em> (in our area)., usually fairly softly <em>pubescent</em>, ± dense",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547124-1)']
4,547134-1,Strychnos congolana,Strychnos congolana,547134-1,Species," <b>Inflorescence</b>: Cymes compound, glabrous or thinly <em>pubescent</em>., terminal",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547134-1)']
5,547225-1,Strychnos henningsii,Strychnos henningsii,547225-1,Species," <b>Inflorescence</b>: Peduncle often very short, sparsely <em>pubescent</em> to glabrous",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547225-1)']
6,547244-1,Strychnos innocua,Strychnos innocua,547244-1,Species," 2–7 mm, <b>Appearance</b>:  or not, <b>Inflorescence</b>: Cymes axillary, <b>Leaf</b>: Leaves: petiole often short, glabrous or <em>pubescent</em>, not sulcate, pedunculate, terete; branchlets glabrous or <em>pubescent</em>., usually <em>pubescent</em>.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547244-1)']
7,547252-1,Strychnos kasengaensis,Strychnos kasengaensis,547252-1,Species," 1–4 mm. long petiole; lamina, <b>Appearance</b>: Branches not lenticellate, <b>Inflorescence</b>:  cm. long, <b>Leaf</b>: Leaves with a <em>pubescent</em>, <em>pubescent</em>, <em>pubescent</em>., medium brown when dry",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547252-1)']
8,547293-1,Strychnos lucens,Strychnos lucens,547293-1,Species," <b>Appearance</b>:  or occasionally <em>pubescent</em>., <b>Appearance</b>: -coloured <em>hairs</em> on the ultimate branchlets (Tanner 1557); tendrils, <b>Inflorescence</b>: –9-flowered, <b>Leaf</b>:  surfaces, <em>pubescent</em> with brown hairs, Flowers 4–5-merous, glabrous or rarely with a few <em>hairs</em> near the base beneath., pubescent with brown <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547293-1)']
9,547300-1,Strychnos madagascariensis,Strychnos madagascariensis,547300-1,Species," 1–5 mm, <b>Appearance</b>:  or not, <b>Inflorescence</b>: Cyme axillary, <b>Leaf</b>: Leaves: petiole glabrous or <em>pubescent</em>, <em>pubescent</em>, lenticellate or not, often short, shortly pedunculate or subsessile, smooth; branchlets glabrous or <em>pubescent</em>, terete.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547300-1)']
